name,slctd,rank
TOI-1468,1,5
TOI-1468,1,5
GJ 143,1,6
GJ 143,1,6
TOI-454,1,7
HD 60779,1,8
HD 95338,1,9
TOI-2540,1,10
TOI-2540,1,10
TOI-7049,1,13
TOI-2134,1,14
TOI-2134,1,14
TOI-1224,1,18
TOI-1224,1,18
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
LP 791-18,1,21
LP 791-18,1,21
LP 791-18,1,21
TOI-2119,1,22
TOI-5789,1,24
TOI-4576,1,25
TOI-6965,1,26
TOI-6965,1,26
HAT-P-20,1,27
TOI-2443,1,28
TOI-406,1,29
TOI-406,1,29
TOI-406,1,29
HD 73583,1,31
HD 73583,1,31
HD 22946,1,32
HD 22946,1,32
HD 22946,1,32
HD 73344,1,33
TOI-2422,1,34
HD 207496,1,35
TOI-712,1,36
TOI-712,1,36
TOI-712,1,36
TOI-2194,1,37
TOI-815,1,38
TOI-815,1,38
HD 207897,1,39
TOI-1764,1,40
TOI-1898,1,41
TOI-5554,1,42
TOI-1774,1,45
TOI-1710,1,46
HIP 9618,1,47
HIP 9618,1,47
TOI-6973,1,48
LTT 3780,1,49
LTT 3780,1,49
HD 17156,1,51
K2-9,1,52
TOI-444,1,53
HD 18599,1,54
TOI-4632,1,55
HR 858,1,57
HR 858,1,57
HR 858,1,57
Kepler-37,1,59
Kepler-37,1,59
Kepler-37,1,59
Kepler-37,1,59
Kepler-37,1,59
HD 21520,1,61
TOI-1231,1,62
HD 183579,1,63
HD 5278,1,65
TOI-2459,1,68
K2-72,1,69
K2-72,1,69
K2-72,1,69
K2-72,1,69
HD 135694,1,70
TOI-700,1,71
TOI-700,1,71
TOI-700,1,71
TOI-700,1,71
TOI-2605,1,72
WASP-59,1,73
TOI-2285,1,74
TOI-2094,1,75
HIP 94235,1,77
TOI-1467,1,78
TOI-904,1,79
TOI-904,1,79
TOI-5375,1,81
TOI-4189,1,82
TOI-2015,1,83
HD 15906,1,84
HD 15906,1,84
WASP-84,1,85
WASP-84,1,85
TOI-1434,1,86
TOI-4631,1,87
TOI-1266,1,88
TOI-1266,1,88
TOI-2276,1,89
TOI-2018,1,91
TOI-4511,1,92
TOI-4511,1,92
HD 332231,1,93
TOI-6673,1,94
HD 235088,1,95
TOI-1730,1,96
TOI-1730,1,96
TOI-1730,1,96
TOI-2095,1,97
TOI-2095,1,97
TOI-198,1,98
HIP 113103,1,99
HIP 113103,1,99
TOI-5112,1,100
TOI-6936,1,101
KELT-24,1,102
TOI-1801,1,103
LP 714-47,1,104
TOI-6708,1,105
TOI-687,1,106
TOI-2128,1,107
TOI-727,1,108
TOI-727,1,108
TOI-1203,1,110
TOI-6078,1,112
TOI-6078,1,112
TOI-1696,1,113
TOI-6992,1,114
TOI-286,1,115
TOI-286,1,115
TOI-7032,1,116
TOI-2327,1,117
GJ 3090,1,118
TOI-480,1,119
TOI-2079,1,120
TOI-2079,1,120
TOI-4438,1,121
TOI-1742,1,122
TOI-4185,1,123
TOI-620,1,124
TOI-257,1,125
TOI-1751,1,126
TOI-1728,1,127
TOI-201,1,128
TOI-201,1,128
TOI-214,1,129
TOI-214,1,129
TOI-1643,1,131
TOI-4602,1,133
TOI-911,1,134
K2-136,1,135
K2-136,1,135
K2-136,1,135
TOI-1452,1,136
TOI-1451,1,137
TOI-6225,1,138
TOI-1718,1,139
WASP-8,1,140
TOI-2136,1,142
TOI-251,1,143
TOI-1268,0,145
TOI-450,0,146
TOI-1433,0,147
TOI-4336 A,0,148
TOI-1235,0,149
K2-18,0,150
HD 118203,0,151
TOI-6676,0,152
TOI-7043,0,153
TOI-6850,0,154
K2-152,0,155
TOI-262,0,156
KELT-2 A,0,157
HD 23472,0,158
HD 23472,0,158
HD 23472,0,158
HD 23472,0,158
HD 23472,0,158
TOI-1027,0,159
TOI-1027,0,159
TOI-1027,0,159
TOI-4460,0,160
TOI-1691,0,161
K2-174,0,162
TOI-5169,0,163
TOI-4309,0,164
TOI-4556,0,165
TOI-2141,0,166
