hostname,tic_id,lya,fuv
example1,-999,pass,fail
example2,-998,unchecked,pass
example3,-997,fail,none
example4,-996,planned,none
example5,-995,pass,tentative
example4,-994,pass,lowsnr
AU Mic,441420236,pass,pass
HD 136352,136916387,pass,pass
HD 189733,256364928,pass,pass
TOI-776,306996324,pass,pass
GJ 436,138819293,pass,pass
HD 209458,420814525,pass,pass
HD 73583,101011575,pass,pass
TRAPPIST-1,278892590,pass,pass
HD 63433,130181866,pass,pass
GJ 143,279741379,none,pass
LHS 1140,92226327,pass,pass
TOI-1468,243185500,none,pass
L 98-59,307210830,pass,pass
HD 110067,347332255,none,fail
TOI-836,440887364,pass,pass
TOI-2076,27491137,pass,pass
TOI-1774,4897275,pass,none
HD 63935,453211454,pass,pass
HD 97658,82308728,pass,pass
TOI-712,150151262,none,pass
HD 39091,261136679,pass,pass
LTT 3780,36724087,none,pass
DS Tuc A,410214986,pass,pass
HAT-P-11,28230919,pass,pass
HD 22946,100990000,none,pass
HR 858,178155732,none,pass
TOI-260,37749396,pass,pass
HD 15337,120896927,pass,pass
GJ 1214,467929202,fail,pass
TOI-431,31374837,pass,pass
GJ 3090,262530407,none,tentative
HD 332231,199376584,none,pass
HD 3167,318707987,pass,lowsnr
HD 23472,425997655,none,pass
HIP 94235,464646604,pass,none
K2-174,243014114,none,pass
TOI-1759,408636441,pass,pass
TOI-421,94986319,pass,pass
HD 191939,269701147,pass,pass
HD 42813,33692729,pass,pass
TOI-700,150428135,none,pass
TOI-561,377064495,pass,pass
K2-3,173103335,fail,pass
TOI-178,251848941,pass,pass
TOI-270,259377017,fail,pass
TOI-1231,447061717,pass,none
HAT-P-20,26826078,pass,none
TOI-1203,23434737,pass,none
HD 260655,307809773,pass,pass
WASP-69,248853232,pass,pass
WASP-8,183532609,none,pass
TOI-1898,91987762,none,pass
V1298 Tau,15756231,fail,pass
GJ 9827,301289516,pass,fail
K2-233,428820090,pass,fail
LTT 9779,183985250,pass,pass
HIP 116454,422618449,pass,pass
LTT 1445 A,98796344,pass,pass
HD 86226,22221375,pass,pass
HD 235088,293954617,none,pass
K2-174,219857012,none,pass
